epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7683,2.09788,2.57952,2.18982,0.63413,0.35357,0.38228,0.16624,2.03951,2.09182,2.2904,0.000221285,0.000221285,0.000221285
2,172.952,2.01074,1.88351,2.07965,0.57874,0.41968,0.41426,0.17672,2.02094,1.93148,2.27517,0.000443317,0.000443317,0.000443317
3,247.983,1.98869,1.83414,2.05642,0.80195,0.36235,0.44143,0.19108,1.9597,1.75246,2.20109,0.000664145,0.000664145,0.000664145
4,322.562,1.96592,1.78734,2.05355,0.45318,0.41836,0.41637,0.1883,1.94657,1.6773,2.21788,0.000662935,0.000662935,0.000662935
5,395.534,1.92202,1.70047,2.01441,0.42905,0.41993,0.42524,0.20027,1.91582,1.60224,2.13834,0.000659785,0.000659785,0.000659785
6,469.599,1.88471,1.6671,1.9867,0.74378,0.4155,0.47555,0.2187,1.87343,1.52885,2.15,0.00065575,0.00065575,0.00065575
7,542.696,1.84866,1.58334,1.94355,0.5861,0.48853,0.50219,0.22611,1.88401,1.46359,2.11005,0.000650841,0.000650841,0.000650841
8,616.873,1.81008,1.56286,1.92369,0.60437,0.46748,0.5119,0.23477,1.85469,1.39666,2.09328,0.000645071,0.000645071,0.000645071
9,689.814,1.77982,1.49124,1.90225,0.5962,0.51871,0.52513,0.23809,1.83964,1.37499,2.08676,0.000638456,0.000638456,0.000638456
10,764.271,1.73869,1.42331,1.87102,0.70537,0.4496,0.50729,0.23697,1.87654,1.38418,2.1193,0.000631014,0.000631014,0.000631014
11,837.709,1.72107,1.37904,1.84736,0.64122,0.47576,0.50231,0.22956,1.87721,1.40612,2.0986,0.000622766,0.000622766,0.000622766
12,911.859,1.7072,1.35384,1.83138,0.63892,0.49604,0.52528,0.24756,1.88219,1.27129,2.08687,0.000613735,0.000613735,0.000613735
13,985.176,1.67191,1.27497,1.78858,0.57125,0.48951,0.52247,0.24412,1.82474,1.34374,2.09999,0.000603944,0.000603944,0.000603944
14,1059.09,1.65057,1.27139,1.78596,0.70761,0.51485,0.54902,0.25302,1.84237,1.2998,2.08283,0.000593421,0.000593421,0.000593421
15,1132.47,1.61952,1.22038,1.75594,0.55206,0.47093,0.52562,0.25524,1.83267,1.27233,2.08018,0.000582195,0.000582195,0.000582195
16,1205.49,1.57477,1.17106,1.71709,0.55744,0.52837,0.5478,0.25718,1.8474,1.24459,2.08479,0.000570297,0.000570297,0.000570297
17,1279.73,1.55714,1.13002,1.70501,0.60524,0.53854,0.569,0.25824,1.81791,1.19861,2.05888,0.000557759,0.000557759,0.000557759
18,1352.78,1.53722,1.09756,1.6967,0.64974,0.49133,0.53312,0.25646,1.83357,1.21806,2.05911,0.000544615,0.000544615,0.000544615
19,1426.96,1.49813,1.07556,1.66562,0.56068,0.56372,0.535,0.25076,1.84475,1.24073,2.09192,0.000530901,0.000530901,0.000530901
20,1500.76,1.48615,1.05596,1.65319,0.56239,0.49652,0.53381,0.25092,1.83581,1.19612,2.08558,0.000516656,0.000516656,0.000516656
21,1575.29,1.45131,1.00475,1.61358,0.57963,0.52721,0.54584,0.26115,1.83275,1.17332,2.10452,0.000501918,0.000501918,0.000501918
22,1649.66,1.42116,0.97724,1.59769,0.63699,0.53284,0.57543,0.26182,1.85628,1.17361,2.07814,0.000486727,0.000486727,0.000486727
23,1724.61,1.40993,0.95494,1.59112,0.57405,0.52789,0.54121,0.25532,1.81851,1.17378,2.0815,0.000471125,0.000471125,0.000471125
24,1800.69,1.38455,0.93428,1.56991,0.6164,0.52762,0.54677,0.25603,1.81668,1.16697,2.06419,0.000455156,0.000455156,0.000455156
25,1875.06,1.36364,0.90693,1.5575,0.59859,0.52265,0.54074,0.25994,1.82856,1.17802,2.10699,0.000438862,0.000438862,0.000438862
26,1948.34,1.32832,0.86825,1.52964,0.63513,0.52045,0.55313,0.26031,1.82113,1.15182,2.0684,0.000422288,0.000422288,0.000422288
27,2023.1,1.31183,0.84775,1.51177,0.7091,0.55863,0.56761,0.26871,1.82601,1.12246,2.1028,0.00040548,0.00040548,0.00040548
28,2097.06,1.27499,0.82109,1.48736,0.60405,0.54474,0.55811,0.26802,1.82406,1.13544,2.11239,0.000388484,0.000388484,0.000388484
29,2171.75,1.27514,0.80817,1.47705,0.72318,0.52499,0.56094,0.26734,1.81013,1.15903,2.08292,0.000371347,0.000371347,0.000371347
30,2245.36,1.25754,0.80007,1.45393,0.62175,0.51811,0.5592,0.26887,1.79514,1.13536,2.0832,0.000354115,0.000354115,0.000354115
31,2319.42,1.22992,0.76917,1.44261,0.63147,0.53018,0.5593,0.26246,1.82386,1.12488,2.11094,0.000336835,0.000336835,0.000336835
32,2393.06,1.21532,0.76597,1.44606,0.58938,0.53734,0.54264,0.26601,1.82339,1.1375,2.09346,0.000319555,0.000319555,0.000319555
33,2467.05,1.18197,0.73169,1.39833,0.58387,0.52252,0.54609,0.26109,1.82668,1.13611,2.11598,0.000302323,0.000302323,0.000302323
34,2540.97,1.16719,0.72662,1.40219,0.66979,0.55624,0.5826,0.27073,1.81431,1.12614,2.11392,0.000285186,0.000285186,0.000285186
35,2614.61,1.15783,0.71639,1.3807,0.62895,0.53391,0.5607,0.27418,1.80104,1.12512,2.0954,0.00026819,0.00026819,0.00026819
36,2688.42,1.13573,0.69371,1.36396,0.75704,0.52771,0.56734,0.26916,1.82976,1.11003,2.12396,0.000251382,0.000251382,0.000251382
37,2762.16,1.12339,0.67879,1.35799,0.67812,0.57276,0.57582,0.26999,1.80515,1.10943,2.1237,0.000234808,0.000234808,0.000234808
38,2836.61,1.10173,0.67628,1.34825,0.6957,0.5462,0.55983,0.27056,1.81664,1.11173,2.13445,0.000218514,0.000218514,0.000218514
39,2909.99,1.0777,0.65764,1.32879,0.73418,0.54016,0.5715,0.27042,1.8091,1.07847,2.12858,0.000202545,0.000202545,0.000202545
40,2984.22,1.07147,0.64359,1.32568,0.6982,0.54172,0.55234,0.26973,1.80889,1.11039,2.13331,0.000186943,0.000186943,0.000186943
41,3058,1.06022,0.6409,1.32295,0.60422,0.55189,0.56917,0.27911,1.80935,1.09538,2.13635,0.000171753,0.000171753,0.000171753
42,3133.01,1.04067,0.62338,1.30077,0.60752,0.56336,0.56947,0.2746,1.8057,1.10411,2.14648,0.000157014,0.000157014,0.000157014
43,3207.08,1.02719,0.61666,1.28321,0.61189,0.56677,0.57438,0.26363,1.81271,1.13648,2.15216,0.000142769,0.000142769,0.000142769
44,3282.62,1.01502,0.61101,1.28473,0.68797,0.54464,0.5813,0.27193,1.82305,1.10452,2.16217,0.000129055,0.000129055,0.000129055
45,3356.85,1.00074,0.60411,1.27212,0.62611,0.52954,0.553,0.26569,1.81404,1.1251,2.13518,0.000115911,0.000115911,0.000115911
46,3431.52,0.99928,0.60545,1.27133,0.64026,0.56639,0.57368,0.26935,1.79698,1.09918,2.13212,0.000103373,0.000103373,0.000103373
47,3504.7,0.97159,0.57866,1.26576,0.65621,0.57881,0.58952,0.27067,1.80384,1.10022,2.15411,9.14746e-05,9.14746e-05,9.14746e-05
48,3578.82,0.9765,0.58383,1.25568,0.605,0.58812,0.58379,0.26837,1.80989,1.09874,2.14906,8.02486e-05,8.02486e-05,8.02486e-05
49,3652.72,0.95006,0.57031,1.24089,0.61464,0.59035,0.57491,0.26859,1.81029,1.10577,2.16776,6.97259e-05,6.97259e-05,6.97259e-05
50,3726.79,0.95209,0.56606,1.24245,0.60929,0.57785,0.57687,0.27194,1.80414,1.10404,2.17061,5.99353e-05,5.99353e-05,5.99353e-05
51,3800.46,0.95894,0.51919,1.2827,0.62001,0.55467,0.58724,0.27218,1.81564,1.09867,2.18781,5.09037e-05,5.09037e-05,5.09037e-05
52,3871.98,0.92446,0.49597,1.2565,0.6091,0.57406,0.58832,0.27245,1.81845,1.09447,2.19057,4.26558e-05,4.26558e-05,4.26558e-05
53,3944.19,0.90988,0.49187,1.2477,0.73032,0.52972,0.57328,0.2721,1.80765,1.09252,2.18021,3.52143e-05,3.52143e-05,3.52143e-05
54,4015.42,0.89732,0.48227,1.23879,0.7166,0.54176,0.57635,0.26844,1.80748,1.09738,2.19333,2.85994e-05,2.85994e-05,2.85994e-05
55,4086.66,0.88603,0.47364,1.24007,0.57975,0.57179,0.56316,0.27041,1.80788,1.10022,2.20701,2.28294e-05,2.28294e-05,2.28294e-05
56,4158.46,0.88581,0.4778,1.23625,0.73255,0.53945,0.56992,0.26916,1.81036,1.10635,2.20285,1.79201e-05,1.79201e-05,1.79201e-05
